pigID,group,p.53,p.54,p.55,p.57,p.59,p.60,p.63,p.64,p.396,p.485,p.512,p.513,p.514,p.527,p.541,p.542,p.554,p.555,p.563,p.567,p.575,p.577,p.584,p.587,p.590,p.594,p.599,p.605,p.606,p.608,p.1105,p.1107,p.1110,p.1121,p.1123,p.1125,p.1126,p.1284,p.1299,p.1301,p.1302,p.1303,p.1336,p.1356,p.1358,p.1359,p.1408,p.1411,p.1412,p.1417,p.1419,p.1437,p.1444,p.1476,p.1493,p.1494,p.1498,p.1508,p.1512,p.1516,p.1518,p.1519,p.1549,p.1558,p.1559,p.1561,p.1564,p.1566,p.1572,p.1573,p.1574,p.1585,p.1589,p.1592,p.1603,p.1604,p.1638,p.1640,p.1642,p.1643,p.1648,p.1649,p.1651,p.1659,p.1669,p.1670,p.1712,p.1768,p.1769,p.1827,p.1898,p.1899,p.2132,p.2137,p.2150,p.2183,p.2342,p.2734,p.2829,p.3127,p.3141,p.3147,p.3155,p.4966,p.4970,p.5086,p.5341,p.6146,p.11438,p.11777,p.12035,p.12055,p.12080,p.12102,p.12129,p.15053,p.15076,p.15095,p.15122,p.15128,p.15136,p.15140,p.15308,p.15365,p.15500,p.15650,p.15676,p.15677,p.15686,p.15737,p.15747,p.15753,p.15772,p.15778,p.15821,p.15835,p.15948,p.15949,p.15958,p.15990,p.15996,p.17747,p.17769,p.17805,p.18319,p.18349,p.18362,p.18369,p.18374,p.18467,p.18474,p.18476,p.18494,p.18497,p.19323,p.19324,p.19503,p.19934,p.20488,p.20675,p.20699,p.21023,p.21025,p.21044,p.21047,p.21049,p.21127,p.21183,p.21188,p.22001,p.22110,p.22116,p.22130,p.22132,p.22138,p.22171,p.22189,p.22294,p.23642,p.27414,p.27531,p.27672,p.27710,p.27716,p.27718,p.27728,p.27738,p.30460,p.31453,p.31522,p.31555,p.31609,p.31900,p.31904,p.31928,p.31938,p.32197,p.32198,p.32306,p.32328,p.32342,p.32346,p.32348,p.32350,p.32352,p.32379,p.32393,p.32394,p.32397,p.32398,p.32412,p.32415,p.32418,p.32426,p.32452,p.32489,p.32492,p.32504,p.32511,p.32553,p.32586,p.32599,p.32635,p.32672,p.32675,p.32815,p.32980,p.33228,p.33230,p.33418,p.33422,p.33441,p.33442,p.33447,p.33453,p.33454,p.33477,p.33587,p.33822,p.33871,p.33936,p.33937,p.33939,p.33945,p.33947,p.33950,p.33955,p.33957,p.33959,p.33960,p.33961,p.33969,p.33970,p.33971,p.33972,p.33997,p.34033,p.34035,p.34092,p.34093,p.34214,p.34258,p.34285,p.34384,p.34407,p.34416,p.34419,p.34456,p.34585,p.34666,p.34732,p.35107,p.35114,p.35127,p.35128,p.35130,p.35133,p.35137,p.35157,p.35174,p.35186,p.35253,p.35254,p.35255,p.35256,p.35257,p.35320,p.35322,p.35431,p.35434,p.35436,p.35437,p.35482,p.35490,p.35626,p.35628,p.35631,p.35638,p.35661,p.35669,p.35675,p.35678,p.35687,p.35688,p.35691,p.35718,p.35819,p.35854,p.35855,p.35883,p.35963,p.36103,p.36594,p.36746,p.36747,p.36752,p.36754,p.36768,p.36776,p.36808,p.37077,p.37095,p.37104,p.37231,p.37253,p.37366,p.37418,p.37427,p.37459,p.37478,p.37506,p.37539,p.37752,p.37789,p.38002,p.38075,p.38077,p.38156,p.38313,p.38314,p.38395,p.38637,p.38763,p.38768,p.39270,p.39512,p.39592,p.39627,p.39864,p.39994,p.40008,p.40420,p.40499,p.41419,p.41754,p.42103,p.42315,p.42574,p.42603,p.42629,p.42982,p.43343,p.43400,p.43488,p.43501,p.43502,p.43522,p.43525,p.43588,p.43761,p.43787,p.44552,p.44562,p.44563,p.44621,p.44630,p.44633,p.45413,p.45434,p.45453,p.45968,p.45970,p.46196
212E,CSS,827004,7472866,,3172171,127117,568230,7018021,23177578,13985,25431,166798,799195,699804,478109216,,1198742,,,,,100214,17012442,8025060,14951238,135228,998640,283524,55106,267076,,1562484,181938,850155,89069,902859,325000,25902160,1427005,1289221,638113,5258059,318528,3136316,24187,6396971,372390,,6396,10624,27666,,216199,908174,2479629,988356,127055,138984,356127,86019,686266,372724,,525306,146006,23318,226860,9202894,44935,455192,170973,884075,17183,9487,840728,,238315,184851,,37228,208676,3880382,39674032,24712,,,13206929,43145,84120,16125,,10441577,10150,475335,5542,,27173,213699,,6624,174259,654108,338165,86287,138017,203153,3610597,,1042270,205323200,11778180,9391,,,,28597,1530141,16086,,10857783,,15724,1836338,,297827,642353,44144,44214,15917,,735662,5571,1216485,213233,4901532,63360,163378,9037,63668,6381,47652,386359,26782,523638,54335,149826,172272,3213,148595,,90289,24797,16524,65506,7166,570012,75390,668212,13698289,218761696,768562,1739124,,3304193,3402425,19787,824304,74266,48248,113657,,64349,60754,27279,6336,34360,29538,43638,2217058,,311606,93755,10157,191844,,896117,60759,706062,,148858,139514,9938,39966,4705,,6515,5312,66551,462436,574544,67258,26140,58482,673537,307589,363512,,53786,4107,116872,7574,66393,14924,,,75193,5741,19442,94450,2302459,5033,20077,,249005,24066,72891,13735,1373498,2203392,262840,,178601,92853,366803,103818,89031,985613,690249,49016,799982,90438,29652,696420,61644,328628,31304,4379,4675985,94082,5597,3125777,1794899,12190,97715,17290,6561,610892,,188448,,26729,110233,14531,164468,,116568,150557,3735111,65340,,35625,,1417653,134920,2685000,,11904,12261,34680,29805,22989,254939,250240,658199,240385,242175,277341,5509,,60481,53022,104903,107786,16820,9744,,751442,67544,386830,,,61181,3626,31867,8261,3807485,103953,24768,199341,12987,71056,,9144,11978,5890,118213,174605,4868,41767,26677,155851,865747,7500877,24498272,160574,212900,131784,26522,181854,50869,59349,3399507,54849,4673,191439,275921408,151931,15368,24159092,5932,80581,8151,131496,,42136,272663,,446549,,,,49535,,50937,12101,1079808,784455,691909,36593,10508,,1020,125917,71842,4403,28101,13595,252665,39540,15083,38059,2208806,5584,216858,121451,164359,15064,189424,10969,2314501,111843,22774,6141,8950
213N,CSS,1078277,8042048,37505,3812855,220505,1424807,2787736,36945000,,34863,268080,362569,879330,434855296,43152,4013415,52949,,,,138557,19251546,11370867,18032832,354374,332356,302039,103727,531476,,8011055,22960,403897,137797,417590,673134,35490892,364756,6259404,529960,5623276,96485,5198358,19044,7188125,768770,,8240,16359,20801,26402,59205,1132844,2999746,3805653,296547,153713,179398,153474,586048,,,1303769,72272,,96969,8088900,177974,411345,113824,53351,21312,19345,706417,,595155,256607,,184218,167819,4839689,70194136,,,8761,27305154,50824,73087,21736,,12915781,,543053,40463,,33132,,38382,11771,143898,510385,231161,697292,167811,375603,3330367,,1006528,193137280,7670201,14498,295780,,,37044,837097,19241,,7402065,,42539,5201959,,195864,909131,43462,83590,29157,,1038541,4182,147151,392131,3606793,646669,283224,3517,109487,13773,54928,1879692,,99623,129855,288527,174671,3667,341702,58307,47823,9589,48840,538479,19988,408167,8751,467286,16378814,306099104,535623,1456896,,3096472,12510377,41656,567890,61106,48759,94619,6483,98452,143588,30627,13467,68698,130583,22838,1659913,,,340193,740832,264523,46709,1214408,,870689,,409858,132197,7254,28871,3483,,6325,20848,204626,1249534,256915,150360,,1030604,732020,129135,310929,84104,85725,18684,101847,44142,125955,18990,11149,23430,140135,22611,74798,94031,1872009,4246,202763,,94866,70970,84584,6315,189287,89891,64623,,305103,285503,358375,120153,,1284648,954430,116302,37874,38493,115251,886403,56157,193888,27246,6157,779041,,3623,413021,208119,10434,54927,25911,17332,345986,22585,1386230,,119082,33130,3587,214945,,1570544,29554,448878,104842,3073,24292,25337,5324770,156949,1212587,,9576,15075,42406,37987,14109,41578,37846,58060,23624,25381,40135,7353,,164430,3718,176133,216495,19446,11967,55218,109279,19479,265970,,3132,39232,3503,17266,4361,6865216,133267,,166135,,10320,,12057,11872,18574,228570,166625,7320,525719,70121,250151,578384,8782045,21564452,,99140,,,272166,47825,49715,1606300,66598,14724,1068228,280285056,121163,,21549410,5641,144498,12117,11728,,43509,6319,,289273,,,,22264,,129612,7240,469237,731965,194497,515472,116246,18278,,142572,15479342,5013,160029,47875,613456,8878,74975,33376,2756432,6103,,,8371,,29981,15688,11607661,23635,9652,4773,3844
214A,CSS,1253001,8831636,55595,1928364,185391,924580,2803387,27620682,23510,71889,298785,797747,878804,414607456,29034,659768,69785,,,259008,133706,15223783,8393469,19242252,294272,395091,78391,112399,266678,,4437923,120799,714154,87027,142228,449468,75039592,1525676,1547614,663594,8468231,187757,3144460,21998,4390505,309451,556318,,17862,44956,17013,141479,824815,3873758,1522670,186683,100991,256970,129780,1216879,327662,,402131,129817,20122,123998,10719284,72002,951800,55668,30619,17028,15747,306094,,146244,192985,,47530,82574,9650835,26420796,58909,,5068,13211002,35923,140630,25797,,10889645,,382641,8521,,46206,,,9100,100963,374318,102968,255720,104363,545764,1897527,,1597304,140823040,30773084,14158,,,,35084,371867,7813,,13438984,,13690,10993196,,2539210,530238,45176,56833,14505,65197,474096,6771,151663,136631,2038311,293625,393220,4685,98321,5024,39320,1780062,,42415,72389,284174,201564,1872,140204,61017,141299,12583,41416,44300,8235,451241,31888,280318,4558740,247709232,465648,854500,132259,4254458,4533238,22912,799247,28806,,50582,,349465,85052,30764,5682,91266,78789,,,,123657,107350,47868,125192,19827,368778,253225,942896,773568,497492,149642,3784,26416,,8550,8821,6110,79393,249072,575610,41501,,172201,529252,1427136,320152,42323,63052,3711,54095,6496,31662,13121,10845,3025,48975,3562,21023,134073,,3022,44128,,152070,36492,82323,8961,534401,2138403,288720,31713,183235,63627,669169,114489,67446,398196,690431,35498,436012,48925,29815,908004,55916,264278,21568,5260,3084929,52188,2966,2336099,1092986,20246,30144,20159,4206,299906,,656860,,25876,69792,9308,178576,20344,241638,,3084231,73933,30215,33671,6074,1695045,161108,2022917,,9860,15211,37192,37351,10160,156977,197344,322589,50715,152619,203984,5634,,51451,7691,99018,108523,21017,15981,15278,149936,42135,282988,,5279,71342,3927,16738,3523,2365909,110011,13987,128207,13476,32190,245144,11480,22932,3740,145460,175458,4759,49857,,228609,382296,7604178,17859258,36079,223278,74148,21462,176382,25284,77486,1685663,69338,9010,292526,202840784,155413,7188,11749489,,81004,5785,12599,,45591,15709,,338411,,,,74243,,79119,8915,284021,212572,249891,53052,10058,,,184186,1123756,5132,26825,12359,244341,27113,3906,74496,625603,4267,159512,118968,20823,8390,72742,14010,254961,90646,9713,8401,
214B,LAC,1727756,8586992,62240,2483665,222767,1068085,4811363,22405356,63627,47920,768011,887856,646404,328888064,437855,1182457,61786,,,827485,216825,21249776,8835490,20579720,411510,664978,245652,81439,346178,,5888206,112836,806831,117294,41609,505659,50795596,3067910,1711227,562387,15107177,297521,4325701,28906,6534966,479243,606028,,13734,24605,16473,172690,1144243,4284107,4052933,294177,158596,237514,185607,645650,371671,,680479,294575,25273,218532,22016112,133596,730655,11540,45464,26394,5301,410005,,236437,228897,154304,118961,121558,7237002,47207184,104567,,6894,8381213,28216,186837,27237,,12816216,,521802,24351,,29684,,18540,9695,48179,647986,136690,770992,186946,703346,2888141,,875341,151304368,19414022,13357,581969,32821,,32092,724626,4585,36004,14676465,,32362,9116731,,141554,300297,47676,89689,19395,107801,859816,5678,109168,157841,3697567,395133,264084,5238,45430,13293,34708,2274400,18535,46750,83355,381379,188511,3041,255657,74273,138802,11489,43368,124259,,600908,34342,307459,7342345,318371520,,1074857,46358,3246284,5972336,36956,70733,62601,,83393,2143,300916,140633,12365,3745,84396,71951,,620580,5364,192377,2068987,471226,156671,18498,406184,31863,789818,494073,586815,112714,4191,28951,16146,7545,8915,13579,126619,220998,672985,57825,,1397318,736213,1954166,130466,70541,58912,7682,108773,19102,37795,14502,12025,,46604,10833,56404,119831,1911382,6939,74314,,239130,28510,83952,14467,130442,1445433,256216,37122,235735,102787,466183,130970,188909,627670,851730,55967,264133,35658,23135,339803,71003,482390,58647,5401,2704191,41464,4031,2098497,1166927,33315,52195,25690,11252,478318,110701,968660,20177,915579,101649,11700,115309,74473,223780,114815,2480141,82973,24367,35612,11057,2471160,166857,2205508,,10964,20168,38498,41463,21534,249798,166352,317433,92426,138213,170693,7906,,40310,,345654,135983,19762,16688,42922,254397,65060,369961,,13058,75062,7685,32686,5474,1137491,126173,,204496,,24981,180509,23861,32127,2747,153300,131350,17845,157360,141271,259763,832727,6582698,20815774,72464,264053,37915,21467,240874,,102616,2276737,297587,14311,3732103,301948480,173423,8841,10848633,,75956,6512,,,58219,17832,,338606,,40047,,126520,,225898,12835,432498,530280,367343,393057,41573,,,170481,3290231,5880,310131,44705,505252,115840,41802,70337,651240,4450,155870,31953,27863,10127,120528,14696,494745,119546,16277,,3398
214F,LAC,1327273,8741327,55595,2116593,225583,976360,4839363,25618232,,76521,369157,266960,725582,329347264,106752,782576,23079,,,1332216,128505,17217186,10903453,21882822,324831,536165,460531,170467,303790,,5808200,58495,620912,108363,130293,466754,41884612,665640,3382187,653973,10954706,240644,3878964,19635,5197236,678833,,3617,15114,75710,17599,165282,1245455,3323781,2707284,123673,196057,223933,229723,681885,1494101,,409885,205011,30822,196460,13030109,245618,469097,34796,54484,18495,4137,624666,21385,544201,294689,,242250,146318,6863620,42665156,114719,,3620,35478224,40089,76647,24066,,18778556,14723,457393,18011,,50542,30565,,7442,118206,773371,122359,717430,187840,785446,1561513,,1029859,201109584,12363858,12561,318362,75795,,28929,1040894,11460,,14746597,,32362,8483418,,124069,597942,43640,73005,16284,66048,1578672,4946,115074,350892,3069179,,286643,3782,81002,30469,40707,1659785,39225,38286,94477,146668,145643,1962,184765,52323,76677,12583,25852,127182,3806,489181,25157,246271,19680092,316015584,388943,1451702,58315,4218117,5142211,28354,,39956,73969,78495,1588,221667,112378,39173,8347,167943,115182,,164273,,306958,1992291,590968,,17410,390569,28648,788123,,644094,161502,9001,38087,10996,17496,5427,22169,113165,439572,611610,41767,,938570,941587,829377,328776,128959,54636,10051,,6497,52096,18575,33656,,78298,9373,94636,135073,1193111,4170,94173,,141857,35275,72259,,1763580,629995,195543,,223612,116713,451401,134525,197428,1361387,939078,78572,136669,45596,34108,540040,51641,403850,24801,5097,2290256,87853,2966,1089371,846345,21313,50427,20797,18806,767280,124799,998076,,329233,58496,6087,,,286273,75132,1072397,76201,2582,28928,11190,2695364,182395,2125165,,9905,14540,44281,45084,20313,92298,167333,188570,80403,86058,102630,4999,,54784,3281,132922,136829,19382,17597,51988,145585,36444,222353,,2750,53626,2454,14382,5123,990481,123332,,219459,,14061,312237,32893,10771,7816,170712,168475,7163,71785,111197,183719,694857,7120325,19371814,28480,356576,34710,25078,449886,,111537,2068204,110664,8295,2332846,126109880,173624,6455,6822563,,136774,9495,4278,,41448,13157,252997,553327,,,,75139,,,7061,457745,317585,432206,375005,23208,,,103066,34172568,6669,585596,11083,376926,19729,109538,164020,606219,2902,54169,44862,15967,,37968,12258,992333,90646,15197,,5153
214G,CSS,1604060,10605355,90917,3510501,215909,931183,3748234,34277816,,66834,659122,801964,525745,277735136,36860,797420,63748,,,,,9663774,8800281,24539636,356626,878971,245192,69379,352694,,2757968,177196,447583,97993,114770,444242,82939928,2823878,1802071,1166870,10912034,110938,3294478,28614,5495604,384484,,,16357,45947,19368,56171,1175259,3649491,2655232,240904,159965,207559,205212,1238398,226768,,401873,119289,34677,146609,9494057,74231,810132,30474,36611,23623,6222,738284,52246,238405,189195,66868,53253,69334,14318437,45369072,108014,,,5401859,17852,87911,16431,,19085496,23166,422022,11204,,47001,14074,17778,8748,108328,344635,126647,192904,174091,830464,1872651,,3011147,189930256,39477620,11827,,,,36549,918032,8016,18415,13190025,,,7760447,,115714,699582,50501,46151,13155,61985,393095,4604,236189,343782,3410550,,338234,5140,75198,18239,26881,4461769,,34304,48928,251424,,2667,283490,101185,63688,,,44150,,376307,35654,264398,17058108,293840064,649431,1145485,88441,5051061,3082455,22267,632759,,,71396,2253,236987,70110,19364,2641,126961,44289,16535,,,215162,129256,22461,160133,10385,628769,36015,864022,,1434496,84239,4902,36674,,,4503,7660,65433,543659,911461,87813,,328234,953492,1411273,289291,,64658,4650,42306,9581,59524,10330,15598,,78099,11846,27787,80161,1316208,3332,44128,,188652,35641,81898,5457,1711936,894292,152440,,297330,98686,441923,95894,103136,736135,724553,40377,226329,39270,56478,193124,56240,422719,45118,4838,2778262,60993,3729,1864895,858497,17059,103167,19378,7513,336735,,444421,,32983,82200,9101,181002,65534,499875,106556,1840573,76959,,32768,8863,1684725,167930,2871316,,12990,13722,31972,32464,10743,140021,207741,268729,121515,113869,131496,5894,,98943,5452,141279,116385,16732,15019,,174430,29905,230738,,2774,54071,3587,21258,5716,1697811,79337,19559,187614,11593,31135,274175,14767,9177,4253,178660,218740,4116,44372,52214,207144,430574,7005200,16337835,42056,109720,56476,,458348,23912,47289,1803821,225727,6090,906922,95158544,102390,4595,10605095,,98973,11218,7451,,50050,17755,582888,479004,,,,49393,,134216,9092,396995,287803,319897,42233,2784,,,156956,1176943,3991,41445,12926,308209,28930,4111,52210,502143,3140,113810,57557,29567,6600,73302,10878,780290,110088,12778,,
214I,LAC,1769021,8704189,37919,3336643,239951,989586,4172418,23889020,40158,18196,596509,625333,853706,421451232,133006,821853,,,,1229139,92236,10590974,7716607,18945302,375110,692600,233739,160858,382972,,6272705,144765,766258,97048,119304,458427,52939392,2384689,1770289,532296,13636912,247961,3535386,19329,5034201,494502,610681,2366,8593,23721,,179369,980425,3907160,3256469,269226,167135,279870,195996,950303,212183,,528030,263649,,231353,15256339,49863,427452,41448,39834,28099,8280,380418,35779,203204,238628,96223,82053,173607,8019652,38575416,92970,,,10824179,24511,84154,15833,,11853109,,441428,15958,,30820,45510,,9438,91606,293204,126426,541997,95344,586391,1193003,,1272527,137970288,19027618,11590,,35121,,38362,442955,7991,41657,14600777,36844,25515,6474054,,126515,644885,63713,60862,19002,103377,466116,3372,171722,136835,3338391,333854,247659,5368,85107,15407,33954,3773822,18016,,74107,457586,184672,,272880,64685,122841,13494,21276,217914,6588,415996,22001,271877,8490035,244618784,279973,1014476,196066,5224210,4799757,27115,50109,36470,,59817,2654,180245,90765,18449,,101246,68004,,349557,,161623,737901,714909,135434,16882,285184,19349,773421,,686862,157492,7071,29848,,,3717,15139,93063,466426,658046,109845,,628914,738906,1785696,283422,59229,72720,11581,66029,21884,62461,9784,17480,4491,97071,8743,35755,99141,137357,6641,49023,,184586,17765,85202,16171,119334,1493561,193778,29242,290475,109502,454560,170792,164225,586740,701369,56704,220082,,69124,176498,63622,698323,43080,6528,2737491,26424,4090,1846204,294135,38978,74831,25860,9055,546875,49996,1049677,,130006,77573,11451,90066,,365098,102586,2426946,90854,,22654,5294,888688,212187,2128604,,12448,18230,50181,43898,26267,183166,139834,247055,62581,,127936,7058,,61085,,208361,,16446,10769,24798,200781,38599,307685,,6779,59529,4586,21921,3308,618256,116414,,187568,22425,24095,144351,38883,25710,,127294,183282,9770,,118770,205608,505419,7516584,24269838,60933,216461,48338,,385689,,73724,2182707,247112,13694,1029510,327435104,156674,7147,15422263,,100592,7107,7841,,48662,13016,,321545,,86916,,92623,,165758,10734,376287,171220,267744,134804,40627,,,304302,3493848,,261085,23893,402685,76063,97913,55299,668325,4310,137939,72904,15417,8163,83068,17258,171918,89635,13297,4597,
214L,LAC,1546289,8188827,27644,2523065,266627,959344,4193836,20766486,53688,,631579,833673,834529,312339840,105982,554402,29737,,79611,1112327,148511,12304876,8407223,21462314,317066,1053627,160286,78007,277298,,4614947,78964,635157,99782,46787,439552,53280204,3411112,1416110,868294,18105812,333549,4031542,19773,5707945,337784,412893,,16358,29255,17050,207959,1154354,4274267,1653760,220229,220540,247371,212835,610476,325794,,371840,147185,45853,174916,22228822,107713,543926,18194,42296,20462,5656,380958,,152087,291788,,41869,126034,8766089,33484628,99893,,5045,7309394,29249,93816,19019,,19231398,,469923,18825,,57397,,14739,10351,79868,375006,94610,582807,148547,561938,1428865,,1165856,158535200,18957630,14005,,,,30617,461828,4673,,11334983,51349,16548,8207956,,140767,731282,31181,69126,27997,138107,708947,3053,89581,134137,2978316,252360,205817,5040,45936,9181,47274,1201529,32661,36868,58917,563314,,,177254,84664,74844,9051,,153837,,391962,36587,234703,3637070,241722672,,1010744,39131,3367091,3401394,25768,64900,43871,48503,76722,,448969,97493,10179,,288658,74943,,119475,,196797,2004800,362600,135873,27599,390277,27114,812977,,617809,101837,5374,24783,,4293,2707,16352,77780,419900,803592,77900,,1308876,690581,343783,257119,47938,67433,16256,39337,9765,43477,8625,,3493,78973,7602,16069,81994,,8016,81301,,167854,28963,66225,11184,550783,1637195,253575,57718,212588,110383,486409,156045,160508,362902,662118,38128,287717,35813,49532,193022,59555,334621,43483,6906,2596550,66836,5362,1589682,785466,20872,75285,18953,7735,492233,177234,691912,,244697,101696,7072,,40522,428294,91528,2387316,61031,13486,23538,7290,1382708,185033,2898741,,16870,17104,54711,34703,13042,198713,191544,295471,110325,122150,160046,5386,,74795,,113897,73706,,14195,53788,167380,42753,214620,406284,9146,46481,4658,19467,7937,428792,87301,22806,192097,19394,29629,428853,14303,14815,,199707,257044,9708,60608,118009,212881,814893,7823617,20028134,35911,201730,46360,35345,467146,,74988,2023737,285014,4396,2040233,146788800,182038,8214,7210067,,99138,6372,2918,,50158,21684,32097,395641,7126,96339,,65807,,106851,9545,662125,136699,292919,159419,23549,,,233245,7238235,6549,515551,11252,361107,38278,85875,84978,580908,7566,122951,40091,21382,7979,79722,13663,158830,104188,18832,,
215B,LAC,869415,9523739,47443,825778,187694,941887,4234763,25365206,,71313,435527,205482,529482,480521056,268312,903600,,,,1848829,183817,15840082,9079406,13039132,312772,556886,240781,86635,263649,,7672717,306556,684502,146551,95408,560095,49148012,434348,6776761,465322,6547868,139348,5468132,22279,6434342,569877,,,19891,12683,15085,159089,941073,615237,1532139,200867,608232,219631,140842,,153885,,475727,225206,23231,133703,5357469,141333,598069,27073,577594,21685,10381,799114,38377,507672,337580,758035,262202,79946,4392170,39510168,,,4188,58460924,52245,121941,22862,,8029320,24217,314765,,,53695,35369,,9088,242521,398737,395370,270477,106707,329537,4266417,,795185,12086672,7415959,11483,566839,80611,,33575,1103076,3173,54227,13864136,,40120,4459700,,280866,563426,46892,74366,35451,50206,1398866,5811,78250,343940,1643041,293095,570252,8135,65368,31415,54047,1133402,33639,51335,142495,602084,178145,2238,116834,,82697,12299,,85568,,598691,11686,337397,23512704,223217504,545863,1929780,253024,136933,4353466,24348,70662,40268,,68391,1743,229878,91719,20640,4499,259091,35192,24401,692487,,141640,1251723,2024362,50551,28538,332011,38260,3492408,,359881,,6464,40477,8018,6584,1938,9323,111858,302915,414246,46818,,447156,474484,413536,637534,246199,55161,7677,68677,11578,51021,20074,53190,8629,77388,7428,123616,152113,,33493,77637,,122241,,127589,,183050,439472,175766,,146200,110383,614046,261139,41762,579145,1351476,91056,140544,30183,34128,365974,65600,818529,,8712,2220540,48254,5716,1044711,527743,26219,58057,46803,20058,545325,147192,1422875,9439,265592,24468,3735,119868,54423,176055,14437,1023986,84108,,,7944,1585529,149351,2011689,,13082,18678,45854,52023,23856,52596,103313,147577,72088,37393,56413,6363,3894,49287,,34819,119133,38843,7499,22541,153059,26225,363065,,3809,81877,2948,18266,5259,922773,164994,21765,310673,35287,20916,,37420,8788,6547,181803,244818,9952,74252,121635,293289,590268,8296912,16563737,32347,144068,26754,27068,65991,75670,119865,2258582,28247,16200,1637235,102231752,263844,3988,9292233,5573,175114,12839,,,58318,13456,320519,310359,,,,39345,,,7405,1254682,226381,,173752,21113,,7351,96388,37296876,6596,447336,7330,539959,97780,82953,42738,728314,5619,43936,,21832,4652,35119,20458,1595521,78542,21828,4954,5049
215C,CSS,1339431,10154787,,2326106,180061,1374364,3349301,44013288,9650,75870,455769,572170,459434,408047168,137860,1351305,,,26787,,97177,12174482,7959077,23305762,479861,112780,199357,226440,583543,,2984308,424030,383329,94757,268710,746805,58824172,714599,3577622,762952,10392179,292096,3167753,19272,4980859,274577,,4323,9729,6721,18453,205266,963566,3736808,2662620,538631,176404,328764,95256,555753,160734,,926673,146271,38941,115150,13863132,95071,509450,52075,45677,26048,19395,1007741,86997,608862,193650,69587,182882,104625,7037580,57962052,105312,,5081,34399140,48142,83266,24309,,14940857,29620,383428,7682,,28177,20537,25016,11713,172246,516556,435983,342275,199885,178852,6642878,,2077573,213055264,12870399,12779,,,,39821,997207,14528,,21624112,,49165,1646968,,176216,487166,58199,74574,56001,,751063,3777,281434,419043,2992644,501935,283102,4578,69979,24209,37890,2552930,29833,33230,63588,137504,,,322209,71541,41550,11132,,51618,,283757,13466,286222,12027982,247420576,556927,1551009,127937,3211843,6341984,36267,1116841,34228,,51518,6289,79607,112856,31176,10380,199845,131389,,375632,,158012,442599,333098,115505,10852,473062,24986,1167498,,1189213,82204,7750,44123,5594,6406,7253,10327,105434,411967,412247,133380,,181010,697434,397162,282408,137155,71435,5697,78721,56076,50766,10245,15498,6167,75370,25616,94311,71707,1337715,7766,41197,,133505,34070,112459,5133,700504,652299,156268,,307349,131491,433102,86312,115361,1265370,910697,39949,165100,37118,115637,638277,61474,617110,36481,7934,1926767,42493,5313,1028728,808386,13263,96394,16424,7847,631610,,533045,,103622,26655,5138,250184,40530,366989,138882,1390785,107068,4781,28250,13659,4020827,143064,2444153,,15438,15347,45600,40552,9604,100564,127039,145503,74797,,60625,9694,,55711,14221,595087,141283,26680,10303,17880,114086,26138,153613,,2351,50040,3330,13013,,11612007,82455,17295,204631,20954,10056,72332,15227,14986,23447,151669,258552,4417,121476,50020,229731,818664,6789172,13671359,41011,299311,37173,39862,678100,26103,51694,1583113,112090,9023,899654,115268928,173221,5808,10263697,7291,118488,12321,16130,,43385,9283,792329,398564,,28328,,34234,,139073,13145,223416,558934,167312,94104,12363,3829,,149642,2067267,4726,104580,57977,592777,61553,24535,,535734,4475,37743,38275,10037,8922,48758,19717,2396849,67310,12728,4591,5229
